City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
63,port alfred,ZA,2020-11-11 00:43:59,-33.59,26.89,60.4,79,92,6.71,overcast clouds
64,tazovskiy,RU,2020-11-11 00:43:59,67.47,78.7,2.37,94,89,7.38,overcast clouds
65,kholtoson,RU,2020-11-11 00:44:00,50.3,103.31,27.16,89,100,5.21,overcast clouds
66,georgetown,MY,2020-11-11 00:44:00,5.41,100.34,80.6,94,20,4.7,few clouds
67,hernani,ES,2020-11-11 00:41:21,43.27,-1.98,54.0,100,90,4.7,fog
68,cidreira,BR,2020-11-11 00:44:00,-30.18,-50.21,69.37,94,100,12.3,overcast clouds
69,arman,RU,2020-11-11 00:44:00,59.7,150.17,3.06,84,0,8.14,clear sky
70,kulu,TR,2020-11-11 00:44:00,39.1,33.08,44.82,85,0,9.24,clear sky
71,arraial do cabo,BR,2020-11-11 00:44:01,-22.97,-42.03,77.0,83,75,13.87,broken clouds
72,bijie,CN,2020-11-11 00:44:01,27.31,105.29,50.59,60,0,3.51,clear sky
73,eyemouth,GB,2020-11-11 00:44:01,55.87,-2.09,48.99,87,88,1.01,overcast clouds
74,bethel,US,2020-11-11 00:43:23,41.37,-73.41,63.0,82,1,4.7,clear sky
75,mahebourg,MU,2020-11-11 00:44:01,-20.41,57.7,73.4,83,75,11.41,broken clouds
76,marawi,PH,2020-11-11 00:44:02,8.0,124.29,75.99,87,100,5.99,overcast clouds
77,port elizabeth,ZA,2020-11-11 00:43:33,-33.92,25.57,55.4,100,0,4.7,clear sky
78,jamestown,US,2020-11-11 00:42:42,42.1,-79.24,64.99,63,1,10.29,clear sky
79,shakawe,BW,2020-11-11 00:44:02,-18.37,21.85,77.05,47,93,3.4,overcast clouds
80,vestmannaeyjar,IS,2020-11-11 00:44:02,63.44,-20.27,40.93,71,100,7.2,overcast clouds
81,wanlaweyn,SO,2020-11-11 00:44:03,2.62,44.89,74.26,82,100,14.03,light rain
82,coquimbo,CL,2020-11-11 00:39:05,-29.95,-71.34,53.6,93,75,8.05,broken clouds
83,hilo,US,2020-11-11 00:44:03,19.73,-155.09,82.4,65,90,6.93,overcast clouds
84,trojes,AL,2020-11-11 00:44:03,41.76,19.96,42.8,93,0,1.12,clear sky
85,qaanaaq,GL,2020-11-11 00:44:03,77.48,-69.36,-2.4,58,0,5.82,clear sky
86,ponta do sol,PT,2020-11-11 00:44:03,32.67,-17.1,68.0,68,75,6.93,broken clouds
87,amiens,FR,2020-11-11 00:44:03,49.9,2.3,51.01,100,90,4.7,fog
88,butaritari,KI,2020-11-11 00:44:04,3.07,172.79,82.17,77,37,7.11,scattered clouds
89,hermanus,ZA,2020-11-11 00:44:04,-34.42,19.23,52.0,88,0,1.01,clear sky
90,hithadhoo,MV,2020-11-11 00:44:04,-0.6,73.08,84.22,69,100,8.03,overcast clouds
91,tabou,CI,2020-11-11 00:44:04,4.42,-7.35,78.53,86,100,7.47,light rain
92,prigen,ID,2020-11-11 00:44:04,-7.68,112.62,79.92,62,9,1.07,clear sky
93,broome,US,2020-11-11 00:44:05,42.25,-75.83,63.0,79,0,1.01,clear sky
94,diego de almagro,CL,2020-11-11 00:44:05,-26.37,-70.05,54.84,59,0,1.5,clear sky
95,yar-sale,RU,2020-11-11 00:44:05,66.83,70.83,6.76,95,79,6.38,broken clouds
96,nabire,ID,2020-11-11 00:43:00,-3.37,135.48,85.24,65,100,1.16,overcast clouds
97,flinders,AU,2020-11-11 00:44:06,-34.58,150.86,73.99,71,0,5.01,clear sky
98,miri,MY,2020-11-11 00:43:29,4.41,114.01,80.6,88,20,3.36,few clouds
99,chardara,KZ,2020-11-11 00:44:06,41.25,67.97,49.35,56,100,3.51,overcast clouds
100,xichang,CN,2020-11-11 00:44:06,27.9,102.26,55.11,66,0,0.6,clear sky
