City_ID,City,Coounty,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
71,caravelas,BR,2020-11-07 22:34:21,-17.71,-39.25,74.98,92,1,5.19
72,lebu,CL,2020-11-07 22:33:20,-37.62,-73.65,54.43,73,0,22.68
73,vuktyl,RU,2020-11-07 22:34:21,63.86,57.31,30.67,98,100,8.68
74,rosetta,EG,2020-11-07 22:34:21,31.4,30.42,66.2,82,40,4.7
75,meybod,IR,2020-11-07 22:34:21,32.25,54.02,55.4,16,0,2.24
76,ponta do sol,PT,2020-11-07 22:32:48,32.67,-17.1,64.4,72,20,2.24
77,portland,US,2020-11-07 22:34:21,45.52,-122.68,48.99,81,90,5.82
78,cape town,ZA,2020-11-07 22:32:50,-33.93,18.42,61.0,87,75,16.11
79,chuy,UY,2020-11-07 22:32:58,-33.7,-53.46,60.28,93,8,6.69
80,sainte-rose,GP,2020-11-07 22:34:22,16.33,-61.7,80.6,78,45,4.7
81,rio gallegos,AR,2020-11-07 22:34:22,-51.62,-69.22,66.2,32,40,24.16
82,georgetown,MY,2020-11-07 22:29:26,5.41,100.34,78.8,94,20,3.36
83,iqaluit,CA,2020-11-07 22:32:43,63.75,-68.51,10.4,72,75,4.7
84,lavrentiya,RU,2020-11-07 22:33:14,65.58,-171.0,29.59,95,54,7.85
85,gua,IN,2020-11-07 22:34:23,22.2,85.38,57.31,64,0,1.12
86,nikolskoye,RU,2020-11-07 22:34:23,59.7,30.79,48.2,81,90,15.66
87,chokurdakh,RU,2020-11-07 22:34:23,70.63,147.92,1.69,95,100,5.53
88,deputatskiy,RU,2020-11-07 22:34:23,69.3,139.9,-4.97,93,98,3.29
89,hilo,US,2020-11-07 22:32:11,19.73,-155.09,77.0,88,90,5.82
90,kingman,US,2020-11-07 22:31:04,35.19,-114.05,62.01,24,40,24.16
91,san andres,CO,2020-11-07 22:34:24,12.58,-81.7,86.0,74,40,5.82
92,kapaa,US,2020-11-07 22:32:46,22.08,-159.32,82.4,83,40,12.75
93,hualmay,PE,2020-11-07 22:32:52,-11.1,-77.61,63.46,80,60,8.21
94,canico,PT,2020-11-07 22:34:24,32.63,-16.85,64.4,72,20,2.24
95,yakeshi,CN,2020-11-07 22:30:04,49.28,120.73,4.24,91,0,5.61
96,hit,IQ,2020-11-07 22:34:25,33.64,42.83,66.16,50,78,9.51
97,bathsheba,BB,2020-11-07 22:33:11,13.22,-59.52,80.6,83,40,17.22
98,meulaboh,ID,2020-11-07 22:33:57,4.14,96.13,75.92,84,100,3.06
99,karratha,AU,2020-11-07 22:33:42,-20.74,116.85,76.06,53,0,9.19
100,butaritari,KI,2020-11-07 22:33:04,3.07,172.79,81.34,72,92,11.63
101,ranfurly,NZ,2020-11-07 22:34:25,-45.13,170.1,42.01,89,99,8.57
102,avarua,CK,2020-11-07 22:28:16,-21.21,-159.78,77.0,78,89,5.82
103,luderitz,NA,2020-11-07 22:33:03,-26.65,15.16,61.79,86,0,5.55
104,noyabrsk,RU,2020-11-07 22:32:06,63.2,75.45,33.17,97,100,13.33
105,kravare,CZ,2020-11-07 22:34:26,49.93,18.0,45.0,100,0,3.0
106,chifeng,CN,2020-11-07 22:34:26,42.27,118.96,24.04,66,0,5.28
107,oneida,US,2020-11-07 22:34:26,43.2,-75.47,64.4,52,1,3.91
108,hobart,AU,2020-11-07 22:32:47,-42.88,147.33,57.0,57,20,8.05
