City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
71,tommot,RU,2020-11-09 22:23:52,58.96,126.29,-3.59,85,100,2.44
72,canutama,BR,2020-11-09 22:25:39,-6.53,-64.38,77.34,92,77,4.05
73,nikolskoye,RU,2020-11-09 22:23:56,59.7,30.79,37.99,86,0,8.95
74,geraldton,AU,2020-11-09 22:20:52,-28.77,114.6,57.2,76,90,12.75
75,mahbubnagar,IN,2020-11-09 22:31:00,16.73,77.98,60.89,52,0,8.7
76,hamilton,US,2020-11-09 22:27:54,39.18,-84.53,73.99,49,20,8.05
77,meulaboh,ID,2020-11-09 22:31:00,4.14,96.13,76.42,88,80,3.89
78,maniitsoq,GL,2020-11-09 22:31:01,65.42,-52.9,19.47,83,89,9.73
79,weligama,LK,2020-11-09 22:31:02,5.97,80.42,77.7,84,40,3.18
80,ipameri,BR,2020-11-09 22:30:48,-17.72,-48.16,74.1,67,97,5.66
81,lebu,CL,2020-11-09 22:24:33,-37.62,-73.65,55.17,83,0,22.84
82,albany,US,2020-11-09 22:27:30,42.6,-73.97,59.0,55,0,2.48
83,punta arenas,CL,2020-11-09 22:22:04,-53.15,-70.92,51.8,71,75,12.75
84,castro,BR,2020-11-09 22:23:55,-24.79,-50.01,64.26,94,44,14.83
85,puerto del rosario,ES,2020-11-09 22:31:02,28.5,-13.86,69.8,83,40,17.22
86,antofagasta,CL,2020-11-09 22:30:00,-23.65,-70.4,62.6,67,75,12.75
87,rincon,US,2020-11-09 22:31:03,32.3,-81.24,77.0,73,75,13.87
88,makokou,GA,2020-11-09 22:31:03,0.57,12.86,69.94,96,100,2.35
89,dakar,SN,2020-11-09 22:21:33,14.69,-17.44,75.2,88,0,10.51
90,yatou,CN,2020-11-09 22:31:04,37.15,122.38,45.36,58,0,2.51
91,port hedland,AU,2020-11-09 22:24:46,-20.32,118.57,73.4,69,0,11.41
92,riyadh,SA,2020-11-09 22:24:16,24.69,46.72,75.2,44,0,8.05
93,key west,US,2020-11-09 22:31:04,24.56,-81.78,86.0,83,75,23.04
94,barrow,US,2020-11-09 22:20:32,71.29,-156.79,14.0,72,90,13.87
95,vilhena,BR,2020-11-09 22:22:15,-12.74,-60.15,77.0,78,90,9.17
96,san patricio,US,2020-11-09 22:24:46,28.02,-97.52,82.4,58,20,16.11
97,gat,IL,2020-11-09 22:31:05,31.61,34.76,68.0,80,0,1.36
98,dingle,PH,2020-11-09 22:25:37,11.0,122.67,75.24,85,57,1.95
99,hambantota,LK,2020-11-09 22:31:06,6.12,81.12,75.2,100,40,3.36
100,kaeo,NZ,2020-11-09 22:25:38,-35.1,173.78,65.17,59,10,4.61
101,bethel,US,2020-11-09 22:20:41,41.37,-73.41,71.6,37,1,3.36
102,osypenko,UA,2020-11-09 22:25:10,46.91,36.83,46.0,100,0,5.99
103,aklavik,CA,2020-11-09 22:24:58,68.22,-135.01,1.4,77,75,9.17
104,norman wells,CA,2020-11-09 22:24:40,65.28,-126.83,12.2,85,90,19.46
105,husavik,IS,2020-11-09 22:31:07,66.04,-17.34,32.0,83,20,11.83
106,podgornoye,RU,2020-11-09 22:31:08,51.73,39.15,32.0,80,0,11.18
107,cidreira,BR,2020-11-09 22:31:08,-30.18,-50.21,67.26,91,100,18.88
108,leh,IN,2020-11-09 22:24:06,34.17,77.58,31.3,66,84,3.02
109,ouegoa,NC,2020-11-09 22:31:08,-20.35,164.43,76.35,66,73,11.63
110,ascension,US,2020-11-09 22:31:08,30.22,-90.9,80.6,61,40,6.93
111,puerto ayora,EC,2020-11-09 22:21:17,-0.74,-90.35,75.2,69,20,19.46
112,lerwick,GB,2020-11-09 22:27:29,60.15,-1.15,51.8,100,100,11.41
113,marsa matruh,EG,2020-11-09 22:31:09,31.35,27.25,64.4,63,40,6.93
114,kaitangata,NZ,2020-11-09 22:24:22,-46.28,169.85,54.0,65,4,5.99
115,barra do garcas,BR,2020-11-09 22:28:03,-15.89,-52.26,73.18,84,77,9.28
116,kodiak,US,2020-11-09 22:24:18,57.79,-152.41,44.6,45,1,16.11
117,victoria,HK,2020-11-09 22:25:07,22.29,114.16,73.0,56,100,15.57
118,sitka,US,2020-11-09 22:21:24,57.05,-135.33,42.8,81,75,5.82
119,belawan,ID,2020-11-09 22:31:10,3.78,98.68,77.0,100,40,4.7
120,saint anthony,US,2020-11-09 22:22:26,45.02,-93.22,42.8,86,90,13.87
121,chokurdakh,RU,2020-11-09 22:24:58,70.63,147.92,-17.93,90,50,3.04
122,faya,SA,2020-11-09 22:22:44,18.39,42.45,60.8,44,0,5.82
123,fairview,US,2020-11-09 22:26:59,40.81,-74.0,69.8,46,1,4.43
124,grindavik,IS,2020-11-09 22:24:50,63.84,-22.43,41.0,93,90,24.16
125,fort nelson,CA,2020-11-09 22:25:44,58.81,-122.7,23.0,79,75,2.04
126,kall,DE,2020-11-09 22:31:11,50.55,6.55,51.01,93,8,5.53
