City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
148,ahipara,NZ,63.16,clear sky,-35.17,173.17,Ahipara Holiday Park
149,puerto escondido,MX,82.4,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
150,geraldton,AU,64.4,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
151,kawalu,ID,78.12,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
152,smyrna,US,69.01,mist,33.88,-84.51,Wingate by Wyndham Atlanta Galleria/Ballpark
153,sur,OM,73.02,clear sky,22.57,59.53,Sur Plaza Hotel
155,ilhabela,BR,73.15,overcast clouds,-23.78,-45.36,Ilha Flat Hotel
156,jiaxing,CN,66.0,clear sky,30.75,120.75,嘉兴富悦大酒店
161,huarmey,PE,62.22,broken clouds,-10.07,-78.15,Hotel Miramar
164,madimba,TZ,77.38,overcast clouds,-10.4,40.33,
166,vao,NC,70.88,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
167,sawakin,SD,82.58,light rain,19.11,37.33,فندق الدويم
168,hobyo,SO,78.82,clear sky,5.35,48.53,Osmani Hotel
169,vilhena,BR,78.8,clear sky,-12.74,-60.15,Hotel Mirage
170,gushikawa,JP,73.4,broken clouds,26.35,127.87,Kirari Guest House
171,cam ranh,VN,79.5,few clouds,11.92,109.16,OYO 598 Peony Hotel
172,hirara,JP,71.6,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
173,santa isabel do rio negro,BR,78.66,clear sky,-0.41,-65.02,Hotel GSA
174,east london,ZA,62.56,light rain,-33.02,27.91,Tu Casa
178,san miguel,SV,73.9,overcast clouds,13.48,-88.18,Excalibur
179,zeerust,ZA,62.6,clear sky,-25.54,26.08,Kareespruit Game Ranch and Guest House
180,poya,NC,75.85,light rain,-21.35,165.15,
181,tukrah,LY,65.48,few clouds,32.53,20.58,استراحة لاقروتا
182,dhidhdhoo,MV,83.23,overcast clouds,6.88,73.1,Dhidhoo beach
186,los llanos de aridane,ES,69.8,overcast clouds,28.66,-17.92,Valle Aridane
188,ende,ID,87.66,broken clouds,-8.84,121.66,Dwi Putra Hotel - Ende
189,coihaique,CL,66.2,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
191,christchurch,NZ,61.0,clear sky,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
194,porto novo,BJ,77.72,clear sky,6.5,2.6,Tour Eiffel Hotel Benin
196,rawson,AR,64.13,broken clouds,-43.3,-65.1,Hotel Punta León
197,nova olinda do norte,BR,79.21,few clouds,-3.89,-59.09,Nova Olinda Palace Hotel
198,inhambane,MZ,72.55,clear sky,-23.86,35.38,Oceano
200,maudaha,IN,63.32,clear sky,25.68,80.12,AJ Villa
201,labuhan,ID,83.93,clear sky,-6.88,112.21,bador sepret
202,esmeraldas,BR,69.8,broken clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
204,colomi,BO,69.8,broken clouds,-17.35,-65.87,Residencial EL TURISMO
205,ponta delgada,PT,60.8,broken clouds,37.73,-25.67,Vila Nova Hotel
206,bartica,GY,78.8,scattered clouds,6.4,-58.62,La Vista Hotel and Apartment
208,paciran,ID,84.49,clear sky,-6.88,112.38,Tanjung Kodok Beach Resort
209,tura,IN,64.8,clear sky,25.52,90.22,Hotel RIKMAN Continental
212,fereydun kenar,IR,61.29,overcast clouds,36.69,52.52,Khezer Shahr Tourist Hotel
214,olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
223,souillac,MU,73.4,broken clouds,-20.52,57.52,Bils' Villa
225,hamilton,US,73.99,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
226,camacha,PT,68.0,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
227,eydhafushi,MV,82.72,scattered clouds,5.1,73.07,Soneva Fushi
229,vila franca do campo,PT,60.8,broken clouds,37.72,-25.43,Pestana Bahia Praia
230,westport,US,62.6,clear sky,41.14,-73.36,The Westport Inn
232,gweta,BW,74.79,overcast clouds,-20.18,25.23,Gweta Lodge
233,portachuelo,BO,77.0,broken clouds,-17.35,-63.4,MOTEL
235,pitimbu,BR,75.2,broken clouds,-7.47,-34.81,Reserva do Abiaí
240,acurenam,GQ,66.42,clear sky,1.03,10.65,
242,marzuq,YE,61.99,clear sky,14.4,46.47,
244,nhulunbuy,AU,87.8,broken clouds,-12.23,136.77,East Arnhem Real Estate
246,bandarbeyla,SO,75.45,few clouds,9.49,50.81,REER XOOSHLE GROUP
249,sa kaeo,TH,69.91,broken clouds,13.75,102.33,บ้านร่มฉัตร รีสอร์ท
252,navolato,MX,80.6,few clouds,24.77,-107.69,"Marco Polo, Navolato"
255,vanimo,PG,86.76,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
256,sambava,MG,72.88,clear sky,-14.27,50.17,Melrose
258,shenzhen,CN,73.0,clear sky,22.55,114.07,Shun Hing Square
259,tambun,ID,86.0,haze,-6.26,107.07,@HOM Premiere Tambun
260,mahenge,TZ,65.84,overcast clouds,-8.68,36.72,Mkondosii Guest House
261,asfi,MA,63.52,clear sky,32.3,-9.24,Hôtel Abda
262,chuy,UY,60.39,broken clouds,-33.7,-53.46,Nuevo Hotel Plaza
267,sokoni,TZ,75.2,broken clouds,-6.43,39.55,Ujamaa Beach Resort
268,ibra,OM,66.2,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
269,brownsville,US,78.8,clear sky,25.9,-97.5,Hotel Alameda Express
270,salalah,OM,77.0,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
271,sinnamary,GF,79.5,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
273,mayo,US,66.2,clear sky,38.89,-76.51,Resorts Resource Group International
274,azare,NG,70.27,clear sky,11.68,10.19,Criss Hotel
276,trinidad,BO,75.96,overcast clouds,-14.83,-64.9,Hotel Piesta
278,dingle,PH,81.12,overcast clouds,11.0,122.67,SEGAYA PROPERTY
284,sehithwa,BW,76.01,broken clouds,-20.47,22.72,MONLEK GUEST HOUSE
285,tezu,IN,68.72,clear sky,27.92,96.17,Circuit House
288,swan hill,AU,83.55,light rain,-35.34,143.55,Lazy River Motor Inn
290,katsuura,JP,60.01,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
292,wawa,NG,79.32,broken clouds,9.9,4.42,
298,santiago de cao,PE,62.08,few clouds,-7.96,-79.24,Villa Konecta - Alojamiento Familiar
300,miraflores,MX,77.0,clear sky,19.22,-98.81,Hotel Mansión
301,isla vista,US,60.8,clear sky,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
302,alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
304,port lincoln,AU,66.49,clear sky,-34.73,135.87,Port Lincoln Hotel
305,amboasary,MG,73.4,clear sky,-25.03,46.38,DISCOVERY AMBOASARY
306,encheng,CN,69.58,broken clouds,22.18,112.3,Pinghu Hostel
307,arlington,US,64.99,clear sky,32.74,-97.11,Days Inn by Wyndham Arlington Six Flags/AT&T Stadium
313,marsa matruh,EG,66.54,clear sky,31.35,27.25,Beau Site
314,sibolga,ID,82.24,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
315,adre,TD,71.55,clear sky,13.47,22.2,
321,lewistown,US,68.0,overcast clouds,40.6,-77.57,Quality Inn & Suites
322,bilma,NE,66.63,clear sky,18.69,12.92,Expeditions Ténére voyages
323,ixtapa,MX,82.4,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
325,kavaratti,IN,82.54,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
326,san andres,CO,78.8,broken clouds,12.58,-81.7,Hotel Arena Blanca
327,lompoc,US,62.6,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
329,byron bay,AU,80.01,clear sky,-28.65,153.62,Backpackers Inn on the Beach
333,vung tau,VN,75.58,overcast clouds,10.35,107.08,Seaside Resort
334,laguna,US,60.8,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
335,turiacu,BR,76.33,overcast clouds,-1.66,-45.37,Pousada Borges
338,alappuzha,IN,77.09,few clouds,9.49,76.33,Panoramic Sea Resort
339,boyolangu,ID,81.7,scattered clouds,-8.12,111.89,Yos ega cv
342,virginia beach,US,72.0,clear sky,36.85,-75.98,Hilton Virginia Beach Oceanfront
343,cururupu,BR,76.21,overcast clouds,-1.83,-44.87,Pousada Través'cia
344,sao joao da barra,BR,74.12,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
347,bodden town,KY,82.99,few clouds,19.28,-81.25,Will T Place
348,caravelas,BR,74.7,broken clouds,-17.71,-39.25,Pousada dos Navegantes
349,denpasar,ID,78.8,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
350,darnah,LY,67.35,overcast clouds,32.77,22.64,زاوية الرفاعي
351,avera,US,71.6,mist,33.19,-82.53,
352,coahuayana,MX,77.0,few clouds,18.73,-103.68,Hotel Los Arcos
354,thinadhoo,MV,83.79,light rain,0.53,72.93,
357,necochea,AR,60.01,clear sky,-38.55,-58.74,dyd -mar Hotel
360,anjangaon,IN,61.63,clear sky,21.16,77.31,Shivam Lodge
361,parana,AR,73.99,clear sky,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
363,nanakuli,US,87.8,scattered clouds,21.39,-158.15,Camp Pālehua
365,ambon,ID,87.8,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
372,bac lieu,VN,76.05,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
374,kahului,US,86.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
384,lazaro cardenas,MX,77.79,broken clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
386,mitzic,GA,66.56,clear sky,0.78,11.55,HOTEL NGUE
387,acari,PE,65.08,clear sky,-15.43,-74.62,Hospedaje Ximens
390,sulangan,PH,82.76,light rain,11.14,123.72,Maia's Beach Resort
394,lahij,YE,70.66,clear sky,13.17,44.58,
398,yulara,AU,82.4,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
399,ofaqim,IL,64.0,clear sky,31.31,34.62,The Negev Experience
400,xai-xai,MZ,73.31,light rain,-25.05,33.64,Platinum Hotel
401,santa maria,BR,73.4,clear sky,-29.68,-53.81,Hotel Morotin
403,hit,IQ,64.65,clear sky,33.64,42.83,Aboody Alhachem
404,gizo,SB,84.0,light rain,-8.1,156.84,Imagination Island
405,guarapari,BR,77.0,few clouds,-20.67,-40.5,Hotel Porto do Sol
406,brewster,US,63.0,clear sky,41.4,-73.62,Heidi's Inn
407,cayenne,GF,77.0,few clouds,4.93,-52.33,Hôtel Le Dronmi
408,moree,AU,78.8,overcast clouds,-29.47,149.85,Molika Springs Motel
411,sahuaripa,MX,61.2,clear sky,29.05,-109.23,Estatua de Sahuaripa
412,udalguri,IN,63.27,clear sky,26.77,92.13,"Army Camp, Golandi"
413,nishihara,JP,73.4,overcast clouds,26.18,127.76,Minshuku Agaihama
414,teahupoo,PF,73.4,light rain,-17.83,-149.27,Vanira Lodge
415,trat,TH,69.55,overcast clouds,12.5,102.5,สวนหนิง-อัศ
416,codrington,AU,69.85,light rain,-38.27,141.97,Codrington Gardens Bed And Breakfast
418,morrope,PE,66.2,clear sky,-6.54,-80.01,Hospedaje Santa Rosa
419,boromo,BF,74.95,clear sky,11.75,-2.93,Sama Camp
423,saurimo,AO,64.78,light rain,-9.66,20.39,Hotel Kawissa Saurimo
427,russellville,US,62.6,overcast clouds,35.28,-93.13,Hampton Inn Russellville
429,buala,SB,87.08,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
430,maun,BW,78.8,clear sky,-19.98,23.42,Enviro Villa
433,kupang,ID,89.6,scattered clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
434,takoradi,GH,78.24,moderate rain,4.88,-1.76,Raybow International Hotel
437,karratha,AU,86.5,clear sky,-20.74,116.85,ibis Styles Karratha
438,havelock,US,72.0,clear sky,34.88,-76.9,Sherwood Motel
439,buchanan,LR,78.24,light rain,5.88,-10.05,Kamaneahn Hotel Inc
440,galdar,ES,69.8,broken clouds,28.15,-15.65,Hostel Guide
445,nouadhibou,MR,73.4,clear sky,20.93,-17.03,El Medina
447,bengkulu,ID,79.32,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
448,padang,ID,82.2,overcast clouds,-0.95,100.35,Mercure Padang
449,cabangahan,PH,86.0,shower rain,9.08,122.95,Centralle District Resort
450,akom,CM,66.85,clear sky,2.67,12.71,Tristan Auberge
451,nouakchott,MR,75.2,clear sky,18.09,-15.98,Hôtel Iman
453,la primavera,CO,77.92,overcast clouds,5.49,-70.41,La Riviera Hotel Colonial
454,grajau,BR,79.81,overcast clouds,-5.82,-46.14,Hotel Confiança
455,doume,CM,67.93,clear sky,4.23,13.45,Hotel Universel
456,hualmay,PE,61.79,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
457,tanete,ID,89.98,overcast clouds,-3.94,119.78,Wisma Tri Multi
459,harper,LR,78.12,light rain,4.38,-7.72,Screensaver
460,port macquarie,AU,82.99,clear sky,-31.43,152.92,Rydges Port Macquarie
462,moyale,KE,66.13,scattered clouds,3.52,39.06,WOCHES PALACE
467,pisco,PE,66.2,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
468,lima,PE,66.2,clear sky,-12.04,-77.03,Gran Hotel Bolivar Lima
469,santa cruz,BO,77.0,broken clouds,-17.8,-63.17,Hotel Cortez
470,grand gaube,MU,72.0,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
472,koutsouras,GR,64.0,overcast clouds,35.03,25.95,The White Houses
475,tucuman,AR,73.4,overcast clouds,-26.82,-65.22,Dallas Hotel Tucuman
476,san rafael,AR,69.13,moderate rain,-34.62,-68.33,Hotel San Rafael
478,raga,SS,72.73,few clouds,8.46,25.68,
480,mecca,SA,76.42,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
481,umm kaddadah,SD,72.73,scattered clouds,13.6,26.69,
482,menongue,AO,64.13,overcast clouds,-14.66,17.69,Ritz Lauca
485,san carlos,VE,75.45,overcast clouds,9.66,-68.58,Hotel Paternopoli
486,velingara,SN,78.21,clear sky,13.15,-14.12,Hotel Najla
488,damara,CF,73.4,few clouds,4.96,18.7,
489,jambi,ID,78.26,light rain,-1.6,103.62,ASTON Jambi Hotel & Conference Center
493,palestina,PS,64.0,clear sky,31.92,35.2,Grand Park Hotel
494,itarema,BR,81.19,few clouds,-2.92,-39.92,Windvillage
495,anekal,IN,62.6,mist,12.7,77.7,Hotel Mayura Nisarga Pearl Valley
496,yaan,NG,75.09,scattered clouds,7.38,8.57,
497,oistins,BB,78.8,shower rain,13.07,-59.53,Butterfly Beach Hotel
499,batticaloa,LK,77.43,broken clouds,7.71,81.69,Grand Star Guest House
502,ecatepec,MX,77.0,clear sky,19.6,-99.05,Fiesta Inn Ecatepec
503,sembakung,ID,80.06,overcast clouds,3.82,117.25,
504,upata,VE,82.0,few clouds,8.01,-62.4,Posada Villa Nela
506,correntina,BR,71.91,few clouds,-13.34,-44.64,Hotel Pousada dos Sonhos
507,iranshahr,IR,62.6,clear sky,27.2,60.68,کافی نت دانشگاه
508,dayong,CN,68.0,clear sky,25.02,118.29,Haiyue Express Hotel
509,sao luiz gonzaga,BR,68.52,overcast clouds,-28.41,-54.96,Xerife Hotel
511,kisangani,CD,69.51,overcast clouds,0.52,25.2,Grand Ramela Hotel
512,ukiah,US,62.6,clear sky,39.15,-123.21,Hampton Inn Ukiah
513,tigaon,PH,77.27,heavy intensity rain,13.63,123.5,Casa Erlinda
515,surin,TH,71.01,overcast clouds,14.88,103.49,Thananda Resort
517,jacareacanga,BR,73.76,few clouds,-6.22,-57.75,Casa do Ian😎
518,san quintin,MX,61.11,clear sky,30.48,-115.95,Old Mill Hotel
